equipamentoPK,equipamentoNome,equipamentoDescricao,equipamentoCor,equipamentoTipo,equipamentoMoeda,equipamentoPreco
1,MONITOR,MONITOR LCD ITAUTEC 17 polegadas,PRATA,EQUIP INFORMATICA,BRL,126.35
5,COMPUTADOR,LENOVO THINKCENTRE MT-M W/ INTEL CORE 2 DUO @ 2.33 GHZ 2GB RAM 160GB HD,PRATA,EQUIP INFORMATICA,BRL,2399.41
6,COMPUTADOR,ITAUTEC INFOWAY SM 3322 W/ AMD PHENOM X2 8GB 320GB HD,PRATA,EQUIP INFORMATICA,BRL,1877.84
7,COMPUTADOR,POSITIVO PLUS R70 W/ MOBO ITAUTEC SM3322 AMD PHENOM X2 4GB 320GB HD,PRETO,EQUIP INFORMATICA,BRL,3500.47
8,COMPUTADOR,ITAUTEC INFOWAY ST 1430 W/ MB ITAUTEC SM3322 AMD PHENON X2 6GB 320GB HD,PRATA,,BRL,1474.87
9,COMPUTADOR,HP COMPAQ DC5850 W/ AMD PHENOM X4 4GB RAM 250GB HD,PRATA,EQUIP INFORMATICA,EUR,250.00
14,,PAUTA CONNECT BB8701A W/ MOBO ITAUTEC SM3322 AMD PHENOM X2 4GB 4HDS 320GB,PRETO,EQUIP INFORMATICA,BRL,2554.85
20,CADEIRA DE ESCRITORIO,,AZUL,MOVEIS,BRL,577.20
21,,CADEIRA UNIVERSITARIA REVESTIDA EM TECIDO NA COR AZUL COM BRACO,AZUL,MOVEIS,BRL,214.00
22,CADEIRA DE ESCRITORIO,CADEIRA UNIVERSITARIA REVESTIDA EM TECIDO NA COR AZUL COM BRACO,AZUL,MOVEIS,BRL,214.01
23,CADEIRA DE ESCRITORIO,CADEIRA UNIVERSITARIA REVESTIDA EM TECIDO NA COR AZUL COM BRACO,,MOVEIS,BRL,214.02
24,ESTABILIZADOR,ESTABILIZADOR RAGTECH 2480  1500 VA,PRETO,EQUIP INFORMATICA,BRL,909.35
25,ESTABILIZADOR,ESTABILIZADOR RAGTECH 3480  1500 VA,PRETO,EQUIP INFORMATICA,BRL,859.41
26,ESTABILIZADOR,ESTABILIZADOR RAGTECH 3480  1500 VA,PRETO,,BRL,
31,MONITOR,,PRETO,,BRL,650.00
32,MONITOR,MONITOR HP L190HB 19 polegadas,PRETO,EQUIP INFORMATICA,BRL,650.00
33,MONITOR,MONITOR HP L190HB 19 polegadas,,EQUIP INFORMATICA,BRL,650.00
34,COMPUTADOR,HP PAVILION 20 ALL-IN-ONE PC INTEL CORE I3,PRETO,EQUIP INFORMATICA,USD,350.00
35,,HP PAVILION 20 ALL-IN-ONE PC INTEL CORE I3,PRETO,,BRL,
36,MONITOR,MONITOR GAMER FULL HD LED SAMSUNG 27 polegadas,,EQUIP INFORMATICA,BRL,899.00
44,,MESA REDONDA REVESTIDA EM FORMICA,BRANCO,MOVEIS,BRL,549.98
45,CADEIRA,CADEIRA PLASTICA,BRANCO,MOVEIS,,
46,CADEIRA,CADEIRA PLASTICA,,MOVEIS,BRL,30.0
47,CADEIRA,CADEIRA PLASTICA,BRANCO,MOVEIS,BRL,30.0
48,FURADEIRA,PARAFUSADEIRA E FURADEIRA BOSCH GSR 7-14 E 400W 220V COM CABO DE 4M,AZUL,,BRL,249.99
49,SERRA,SERRA CIRCULAR WAP ESC 1400 FERRAMENTA ELETRICA MANUAL 1400W,AMARELO,FERRAMENTAS ELETRICAS,,539.10
50,,SERRA TICO-TICO BOSCH GST 650 450W 127V,AZUL,FERRAMENTAS ELETRICAS,BRL,313.20
51,POLTRONA,POLTRONA VILLARE SOGNO RECLINAVEL REVESTIDA EM TECIDO NA COR VERMELHA,VERMELHO,MOVEIS,BRL,845.50
52,SMARTPHONE,XIAOMI MI A2 LITE 3GB RAM 32GB ARMAZENAMENTO ANDROID 9,PRETO,SMARTPHONES,USD,235.40
