equipamentoPK,equipamentoNome,equipamentoDescricao,equipamentoCor,equipamentoTipo,equipamentoMoeda,equipamentoPreco
1,MONITOR,MONITOR LCD LG 15 polegadas,PRETO,EQUIP INFORMATICA,EUR,39.00
2,MONITOR,MONITOR LCD ITAUTEC 17 polegadas,,EQUIP INFORMATICA,BRL,126.35
3,MONITOR,MONITOR LCD ITAUTEC 17 polegadas,PRATA,EQUIP INFORMATICA,BRL,
4,MONITOR,,PRATA,,BRL,106.65
5,,MONITOR LCD ITAUTEC 19 polegadas,PRETO,EQUIP INFORMATICA,BRL,180.20
6,MONITOR,MONITOR LCD AOC 17 polegadas,,EQUIP INFORMATICA,BRL,167.41
7,MONITOR,MONITOR LCD ITAUTEC 17 polegadas,PRETO,EQUIP INFORMATICA,BRL,126.35
8,COMPUTADOR,LENOVO THINKCENTRE MT-M W/ INTEL CORE 2 DUO @ 2.33 GHZ 4GB RAM 320GB HD,PRETO,,BRL,2399.41
9,COMPUTADOR,,,,USD,400.00
10,COMPUTADOR,LENOVO THINKCENTRE MT-M W/ INTEL CORE 2 DUO @ 2.33 GHZ 6GB RAM 320GB HD,PRETO,EQUIP INFORMATICA,BRL,2399.41
11,,LENOVO THINKCENTRE MT-M W/ INTEL CORE 2 DUO @ 2.33 GHZ 2GB RAM 160GB HD,PRETO,EQUIP INFORMATICA,BRL,2399.41
12,COMPUTADOR,,PRETO,,BRL,
13,COMPUTADOR,ITAUTEC INFOWAY SM 3322 W/ AMD PHENOM X2 8GB 320GB HD,,EQUIP INFORMATICA,,1877.84
14,COMPUTADOR,POSITIVO PLUS R70 W/ MOBO ITAUTEC SM3322 AMD PHENOM X2 4GB 320GB HD,PRETO,EQUIP INFORMATICA,BRL,3500.47
15,COMPUTADOR,ITAUTEC INFOWAY ST 1430 W/ MB ITAUTEC SM3322 AMD PHENON X2 6GB 320GB HD,PRATA,,BRL,1474.87
16,COMPUTADOR,HP COMPAQ DC5850 W/ AMD PHENOM X4 4GB RAM 250GB HD,PRATA,EQUIP INFORMATICA,EUR,250.00
17,,,PRATA,EQUIP INFORMATICA,BRL,1583.74
18,COMPUTADOR,HP COMPAQ DC5850 W/ AMD PHENOM X4 4GB RAM 250GB HD,PRATA,,BRL,1583.74
19,COMPUTADOR,HP COMPAQ DC5850 W/ AMD PHENOM X4 4GB RAM 250GB HD,,EQUIP INFORMATICA,BRL,
20,COMPUTADOR,HP COMPAQ DC5850 W/ AMD PHENOM X4 4GB RAM 250GB HD,PRATA,EQUIP INFORMATICA,BRL,1583.74
21,COMPUTADOR,,PRATA,EQUIP INFORMATICA,EUR,250.00
